City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,Ad Darb,17.7229,42.2526,27.28,64,6,4.27,SA,1707490180
81,Susuman,62.7833,148.1667,-38.34,100,99,0.89,RU,1707490012
82,Big Spring,32.2504,-101.4787,6.25,65,0,3.09,US,1707490180
83,Kupang,-10.1667,123.5833,26.32,100,75,1.03,ID,1707490180
84,Betong,5.7743,101.0723,21.27,87,34,1.46,TH,1707490180
85,Tralee,52.2704,-9.7026,11.14,71,75,2.57,IE,1707490181
86,Key West,24.5557,-81.7826,23.33,78,75,3.6,US,1707489987
87,Codrington,-38.2667,141.9667,15.66,76,100,6.71,AU,1707490181
88,Betheny,49.285,4.055,13.0,76,75,3.6,FR,1707490181
89,Hadibu,12.65,54.0333,25.64,68,55,6.99,YE,1707490181
90,Bredasdorp,-34.5322,20.0403,22.65,47,33,9.15,ZA,1707490181
91,Tsiombe,-25.3,45.4833,27.3,76,38,5.58,MG,1707490181
92,Dauphin,51.1494,-100.0502,-6.92,86,100,5.66,CA,1707490182
93,La Passe,45.5549,-0.8967,14.43,83,100,4.91,FR,1707490182
94,Bordj Bou Arreridj,36.0732,4.7611,11.33,54,100,10.63,DZ,1707490182
95,College,64.8569,-147.8028,-12.53,80,75,1.54,US,1707490182
96,Zaozersk,69.4005,32.4476,-19.38,96,100,1.72,RU,1707490182
97,Saipan,15.1355,145.701,26.39,78,20,6.69,MP,1707490182
98,Villa De Soto,-30.8552,-64.9995,21.83,88,100,1.57,AR,1707490182
99,Selfoss,63.9331,-20.9971,-4.98,81,100,3.94,IS,1707490183
100,Inyonga,-6.7167,32.0667,24.21,81,93,1.26,TZ,1707490183
101,Falam,22.9167,93.6833,8.32,39,3,0.84,MM,1707490183
102,Langepas,61.2544,75.2124,-9.02,96,100,2.49,RU,1707490183
103,Tual,-5.6667,132.75,28.37,82,95,4.96,ID,1707490183
104,Whitehorse,60.7161,-135.0538,-15.57,81,100,10.8,CA,1707489955
105,Belyy Yar,53.6039,91.3903,-1.06,86,100,0.0,RU,1707490183
106,San Onofre,9.7359,-75.5263,29.62,57,40,2.47,CO,1707490183
107,Ambodifotatra,-16.9833,49.85,28.47,75,92,2.77,MG,1707489953
108,Sheffield,53.383,-1.4659,8.28,74,100,1.29,GB,1707490076
109,Kochubey,44.3861,46.5825,7.92,83,39,4.22,RU,1707490184
110,Greymouth,-42.4667,171.2,11.81,87,76,1.85,NZ,1707490184
111,Buala,-8.145,159.5921,26.51,87,100,5.12,SB,1707490184
112,Inarajan Village,13.2736,144.7484,26.54,83,84,7.16,GU,1707490184
113,Kristiansund,63.1115,7.732,-1.64,59,0,3.09,NO,1707490184
114,Miles City,46.4083,-105.8406,-9.46,92,100,2.57,US,1707490185
115,Cole Harbour,44.6724,-63.4751,-2.38,87,20,2.57,CA,1707490185
116,Anadyr,64.75,177.4833,-11.72,84,75,11.0,RU,1707490185
117,Enewetak,11.3474,162.3373,26.57,82,100,9.3,MH,1707490185
118,Toropets,56.4978,31.6353,-16.46,98,6,1.11,RU,1707490185
119,Avarua,-21.2078,-159.775,27.03,74,100,5.14,CK,1707490185
120,Caraballeda,10.6112,-66.8522,24.04,88,92,1.54,VE,1707490185
121,Lorengau,-2.0226,147.2712,27.68,83,100,4.9,PG,1707490005
122,Badger,64.8,-147.5333,-12.58,77,20,1.54,US,1707489999
123,Utrik,11.2278,169.8474,26.14,72,100,10.58,MH,1707490186
124,Iqaluit,63.7506,-68.5145,-26.15,70,75,1.54,CA,1707490186
125,Mariinsk,56.2139,87.7472,1.39,94,100,6.74,RU,1707490186
126,Balakhani,40.4634,49.9189,9.59,66,0,4.12,AZ,1707490186
127,Omidiyeh,30.7597,49.705,22.93,31,0,3.09,IR,1707490186
128,Yenotayevka,47.2456,47.0281,0.17,85,100,2.97,RU,1707490186
129,Acarau,-2.8856,-40.12,31.89,60,57,7.66,BR,1707490186
130,Stanley,54.868,-1.6985,6.77,95,75,5.66,GB,1707490186
131,Lanciano,42.2167,14.3882,17.97,55,100,1.18,IT,1707490187
132,Coahuayana De Hidalgo,18.7,-103.6583,23.23,63,4,1.03,MX,1707490187
133,Auki,-8.7676,160.7034,26.2,90,100,5.92,SB,1707490187
134,Fonte Boa,-2.4959,-66.2662,31.7,65,72,1.67,BR,1707490187
135,Papatowai,-46.5619,169.4708,10.64,76,100,2.95,NZ,1707490187
136,Lompoc,34.6391,-120.4579,5.4,95,100,2.57,US,1707489982
137,Bellefonte,40.9134,-77.7783,9.06,61,100,0.0,US,1707490187
138,Sinop,41.7711,34.8709,12.24,66,3,1.88,TR,1707490187
139,Aykhal,66.0,111.5,-33.54,100,99,1.96,RU,1707490188
140,Tolanaro,-25.0319,46.9987,27.04,78,40,7.2,MG,1707490188
141,Atherton,53.5237,-2.4935,8.36,95,100,2.12,GB,1707490188
142,Nadvoitsy,63.8667,34.3167,-9.84,94,97,4.0,RU,1707490188
143,Karratha,-20.7377,116.8463,30.31,58,11,3.05,AU,1707490188
144,Inhambane,-23.865,35.3833,30.99,74,40,5.36,MZ,1707490188
145,Guerrero Negro,27.9769,-114.0611,13.01,65,100,5.02,MX,1707490188
146,Qaqortoq,60.7167,-46.0333,-12.82,60,100,3.57,GL,1707490188
147,Hargeysa,9.56,44.065,21.18,73,15,7.18,SO,1707490189
148,Uliastay,47.7417,96.8444,-17.89,86,20,3.23,MN,1707490189
149,Kamina,-8.7386,24.9906,25.36,81,67,1.18,CD,1707490189
150,Iskateley,67.6803,53.1512,-14.43,95,85,3.58,RU,1707490189
151,Terville,49.3471,6.138,14.12,84,100,1.79,FR,1707490189
152,Tobruk,32.0836,23.9764,17.6,60,0,3.67,LY,1707490189
153,Manati,18.4275,-66.4921,25.5,69,74,4.32,PR,1707490190
154,El Alto,-4.2714,-81.2147,24.81,80,100,4.25,PE,1707490190
155,Pisco,-13.7,-76.2167,26.68,83,0,3.09,PE,1707490190
156,Isafjordur,66.0755,-23.124,-2.98,59,75,3.09,IS,1707490190
157,Talnakh,69.4865,88.3972,-26.61,83,52,2.3,RU,1707490190
158,Wittenburg,53.5167,11.0667,2.28,100,100,4.76,DE,1707490190
159,Amos,48.5669,-78.1162,1.55,100,100,4.93,CA,1707490191
160,Kerikeri,-35.2268,173.9474,18.84,91,88,1.56,NZ,1707490191
161,Kenai,60.5544,-151.2583,0.08,82,100,11.83,US,1707490191
162,Polyarnyy,69.1989,33.4478,-17.87,96,100,1.94,RU,1707490191
163,Vila Velha,-20.3297,-40.2925,30.97,58,40,2.57,BR,1707490191
164,Puerto Baquerizo Moreno,-0.9,-89.6,26.05,79,78,3.18,EC,1707490191
165,Vega De Alatorre,20.0333,-96.6333,22.4,79,1,0.84,MX,1707490191
166,Hasaki,35.7333,140.8333,4.05,72,100,5.46,JP,1707490192
167,Tyukalinsk,55.8732,72.1967,-6.28,92,100,4.33,RU,1707490192
168,Xichang,27.8964,102.2634,7.21,75,100,0.87,CN,1707490192
